
Similarity
Label,n,CT-Ter-2,CT-Ter-10,CT-1,CT-2,CT-3,CT-4,CT-5,CT-6,CT-7,CT-8.2,CT-9,CT-10,CT-11
CT-1,152,0.3242481203007519,0.450775758614778,0.0,0.22606940658418956,0.989675734279519,0.09338687628161313,0.2438528754318228,0.12709030100334448,0.27177962028358565,0.13916548127074443,0.2882105263157895,0.2014519056261343,0.12089963280293757
CT-2,251,0.23053241579137992,0.3207885072089492,0.22606940658418956,0.0,0.9130668337884418,0.2127722874734827,0.23181405651525172,0.2288638089781343,0.2943113391184122,0.21894404364523887,0.17767330677290838,0.215571212686201,0.21710367831001576
CT-3,267,0.8027262999173111,0.7687296416938111,0.989675734279519,0.9130668337884418,0.0,0.9892626100491269,0.9886483594348763,0.9895657184372377,0.9825560515109538,0.978236663629922,0.9045093632958802,0.980092618217376,0.9776500304851494
CT-4,308,0.3116883116883117,0.42421422225982486,0.09338687628161313,0.2127722874734827,0.9892626100491269,0.0,0.2378027378027378,0.10677366112148721,0.2512156792978711,0.14250614250614252,0.2436103896103896,0.15931482310792655,0.1321353065539112
CT-5,259,0.32757107757107756,0.41330348496472274,0.2438528754318228,0.23181405651525172,0.9886483594348763,0.2378027378027378,0.0,0.33469350860655206,0.27744574319916787,0.13706563706563707,0.2591969111969112,0.12328584742377846,0.137254197719314
CT-6,299,0.3572623029144768,0.5109975706208535,0.12709030100334448,0.2288638089781343,0.9895657184372377,0.10677366112148721,0.33469350860655206,0.0,0.3466043585162108,0.2147398234354756,0.3136321070234114,0.24139578562367167,0.21571128568095202
CT-7,219,0.3702188222736168,0.5314354558029539,0.27177962028358565,0.2943113391184122,0.9825560515109538,0.2512156792978711,0.27744574319916787,0.3466043585162108,0.0,0.30099962976675304,0.37583561643835617,0.30454146703556245,0.3049803546777105
CT-8.2,222,0.31838656838656837,0.36837162895794817,0.13916548127074443,0.21894404364523887,0.978236663629922,0.14250614250614252,0.13706563706563707,0.2147398234354756,0.30099962976675304,0.0,0.2289009009009009,0.07003062175475969,0.0798240100565682
CT-9,250,0.22618181818181818,0.21798045602605864,0.2882105263157895,0.17767330677290838,0.9045093632958802,0.2436103896103896,0.2591969111969112,0.3136321070234114,0.37583561643835617,0.2289009009009009,0.0,0.21966502463054188,0.22641860465116279
CT-10,203,0.312807881773399,0.3365960109754336,0.2014519056261343,0.215571212686201,0.980092618217376,0.15931482310792655,0.12328584742377846,0.24139578562367167,0.30454146703556245,0.07003062175475969,0.21966502463054188,0.0,0.13254668346889678
CT-11,215,0.3152823920265781,0.38356185137489585,0.12089963280293757,0.21710367831001576,0.9776500304851494,0.1321353065539112,0.137254197719314,0.21571128568095202,0.3049803546777105,0.0798240100565682,0.22641860465116279,0.13254668346889678,0.0

Kolgomorov-Smirnov p-value
Label,n,CT-Ter-2,CT-Ter-10,CT-1,CT-2,CT-3,CT-4,CT-5,CT-6,CT-7,CT-8.2,CT-9,CT-10,CT-11
CT-Ter-2,308,1.0,0.00038055459399437736,5.289307835979587e-10,6.07821362720708e-07,8.300277514140995e-93,1.2857725634567782e-13,6.948091410159796e-14,9.676461548650687e-18,3.7634497357358167e-16,4.378582136251611e-12,1.0959442807822405e-06,4.255909589905325e-11,1.1996158018839094e-11
CT-Ter-10,307,0.00038055459399437736,1.0,3.093078949803901e-19,4.3377026976387784e-13,1.0102999213948028e-83,3.0638789363808006e-25,4.881114394718819e-22,1.4108629980939706e-36,1.213604401225044e-33,4.367320513181769e-16,3.1328350321567213e-06,8.469661288573778e-13,4.096911404938301e-17
CT-1,152,5.289307835979587e-10,3.093078949803901e-19,1.0,9.707404328277899e-05,1.6635913364966612e-113,0.3122399354564189,1.677847146962012e-05,0.06895560852234896,2.4341592714139337e-06,0.053794748940137214,1.966483358108094e-07,0.0013863682070791837,0.1333900599753097
CT-2,251,6.07821362720708e-07,4.3377026976387784e-13,9.707404328277899e-05,1.0,2.5174430502936956e-116,5.596629803618224e-06,1.6324071489262016e-06,9.139818874569863e-07,1.890529965082268e-09,1.9035221598365678e-05,0.0006057483222638106,4.590959799094255e-05,2.7752002714726215e-05
CT-3,267,8.300277514140995e-93,1.0102999213948028e-83,1.6635913364966612e-113,2.5174430502936956e-116,1.0,5.582496033372087e-164,3.307258451464213e-150,8.461274575570805e-162,6.161113816531325e-135,5.955635563486651e-134,3.052998379632497e-113,3.318650025055021e-128,1.4628489087270204e-131
CT-4,308,1.2857725634567782e-13,3.0638789363808006e-25,0.3122399354564189,5.596629803618224e-06,5.582496033372087e-164,1.0,1.7643516257590978e-07,0.0568413970229097,1.3372191178885645e-07,0.009300968121641662,1.0883480880700056e-07,0.003462175344855727,0.0213299791739196
CT-5,259,6.948091410159796e-14,4.881114394718819e-22,1.677847146962012e-05,1.6324071489262016e-06,3.307258451464213e-150,1.7643516257590978e-07,1.0,2.682165373129309e-14,1.4751727616188141e-08,0.020161687803027763,5.018573008570681e-08,0.05659252078121293,0.021095392050485228
CT-6,299,9.676461548650687e-18,1.4108629980939706e-36,0.06895560852234896,9.139818874569863e-07,8.461274575570805e-162,0.0568413970229097,2.682165373129309e-14,1.0,5.277508796433411e-14,1.2221084240669086e-05,2.316609138056862e-12,1.098025337742774e-06,1.3605337889627296e-05
CT-7,219,3.7634497357358167e-16,1.213604401225044e-33,2.4341592714139337e-06,1.890529965082268e-09,6.161113816531325e-135,1.3372191178885645e-07,1.4751727616188141e-08,5.277508796433411e-14,1.0,2.582855426321514e-09,3.141379056017675e-15,3.793422340664059e-09,1.901963974293727e-09
CT-8.2,222,4.378582136251611e-12,4.367320513181769e-16,0.053794748940137214,1.9035221598365678e-05,5.955635563486651e-134,0.009300968121641662,0.020161687803027763,1.2221084240669086e-05,2.582855426321514e-09,1.0,6.685658687884601e-06,0.6404130470159588,0.456598481775137
CT-9,250,1.0959442807822405e-06,3.1328350321567213e-06,1.966483358108094e-07,0.0006057483222638106,3.052998379632497e-113,1.0883480880700056e-07,5.018573008570681e-08,2.316609138056862e-12,3.141379056017675e-15,6.685658687884601e-06,1.0,3.1252617184896714e-05,1.0820012160371639e-05
CT-10,203,4.255909589905325e-11,8.469661288573778e-13,0.0013863682070791837,4.590959799094255e-05,3.318650025055021e-128,0.003462175344855727,0.05659252078121293,1.098025337742774e-06,3.793422340664059e-09,0.6404130470159588,3.1252617184896714e-05,1.0,0.04518773990276239
CT-11,215,1.1996158018839094e-11,4.096911404938301e-17,0.1333900599753097,2.7752002714726215e-05,1.4628489087270204e-131,0.0213299791739196,0.021095392050485228,1.3605337889627296e-05,1.901963974293727e-09,0.456598481775137,1.0820012160371639e-05,0.04518773990276239,1.0

Kuiper Vmax
Label,n,CT-Ter-2,CT-Ter-10,CT-1,CT-2,CT-3,CT-4,CT-5,CT-6,CT-7,CT-8.2,CT-9,CT-10,CT-11
CT-Ter-2,308,0.0,0.2513642709082449,0.38268967874231025,0.2889739742329384,0.804975922953451,0.3116883116883118,0.4680589680589681,0.3541132780263214,0.5272786574156436,0.35881010881010883,0.31200000000000006,0.37639946260635915,0.3690727876774388
CT-Ter-10,307,0.2513642709082449,0.0,0.5191796674095662,0.39244974499396545,0.7868096475496834,0.4240344346207538,0.5194622263026172,0.5109975706208534,0.6597504201805662,0.4220148487249464,0.2653029315960913,0.4082572487604499,0.44870843117945614
CT-1,152,0.38268967874231025,0.5191796674095662,0.0,0.2286642902075906,0.9962546816479401,0.11628503075871505,0.3215301767933346,0.12051135363492346,0.48245614035087714,0.15706495969653855,0.2898947368421053,0.18340031112263427,0.13029375764993872
CT-2,251,0.2889739742329384,0.39244974499396545,0.2286642902075906,0.0,0.9212737066714415,0.21277228747348265,0.3645187589410697,0.2288638089781343,0.4276228419654714,0.2416101360324468,0.18584860557768917,0.2786293250642749,0.23958121004354674
CT-3,267,0.804975922953451,0.7868096475496834,0.9962546816479401,0.9212737066714415,0.0,0.9892626100491269,0.9886483594348763,0.9895657184372377,0.9817351598173516,0.978236663629922,0.9092734082397004,0.9789118281950517,0.9776500304851493
CT-4,308,0.3116883116883118,0.4240344346207538,0.11628503075871505,0.21277228747348265,0.9892626100491269,0.0,0.258950508950509,0.1101181427268384,0.4426406926406926,0.14186264186264194,0.23537662337662335,0.15785938199731292,0.13607671398369067
CT-5,259,0.4680589680589681,0.5194622263026172,0.3215301767933346,0.3645187589410697,0.9886483594348763,0.258950508950509,0.0,0.3282498934672848,0.2704289416618184,0.21750321750321752,0.3196138996138995,0.19105312208760483,0.2105055221334291
CT-6,299,0.3541132780263214,0.5109975706208534,0.12051135363492346,0.2288638089781343,0.9895657184372377,0.1101181427268384,0.3282498934672848,0.0,0.5195094760312151,0.21255536472927775,0.3136321070234114,0.24297741239270473,0.21236680407560082
CT-7,219,0.5272786574156436,0.6597504201805662,0.48245614035087714,0.4276228419654714,0.9817351598173516,0.4426406926406926,0.2704289416618184,0.5195094760312151,0.0,0.4054054054054054,0.44666666666666666,0.40065681444991785,0.3968992248062015
CT-8.2,222,0.35881010881010883,0.4220148487249464,0.15706495969653855,0.2416101360324468,0.978236663629922,0.14186264186264194,0.21750321750321752,0.21255536472927775,0.4054054054054054,0.0,0.23088288288288286,0.0708738294945192,0.07814791535721777
CT-9,250,0.31200000000000006,0.2653029315960913,0.2898947368421053,0.18584860557768917,0.9092734082397004,0.23537662337662335,0.3196138996138995,0.3136321070234114,0.44666666666666666,0.23088288288288286,0.0,0.23966502463054193,0.2374883720930233
CT-10,203,0.37639946260635915,0.4082572487604499,0.18340031112263427,0.2786293250642749,0.9789118281950517,0.15785938199731292,0.19105312208760483,0.24297741239270473,0.40065681444991785,0.0708738294945192,0.23966502463054193,0.0,0.09558941459502801
CT-11,215,0.3690727876774388,0.44870843117945614,0.13029375764993872,0.23958121004354674,0.9776500304851493,0.13607671398369067,0.2105055221334291,0.21236680407560082,0.3968992248062015,0.07814791535721777,0.2374883720930233,0.09558941459502801,0.0

Cross-correlation of kernal density estimation
Label,n,CT-Ter-2,CT-Ter-10,CT-1,CT-2,CT-3,CT-4,CT-5,CT-6,CT-7,CT-8.2,CT-9,CT-10,CT-11
CT-Ter-2,308,1.0,0.8945031927446159,0.8521697142360098,0.8539992202384636,0.024889088224062786,0.8586274298624018,0.8463123103260412,0.8468720376148076,0.8529024098954133,0.8488271627035713,0.8514337605603027,0.8474403012421401,0.848947708852389
CT-Ter-10,307,0.8945031927446159,1.0,0.9362558816554594,0.9148716546289093,0.028876991370653495,0.9321075516387218,0.948361311223914,0.9123011027890447,0.9205682257243879,0.950123446742216,0.9432590367567595,0.9533545739056972,0.9479677452818878
CT-1,152,0.8521697142360098,0.9362558816554594,1.0,0.9482446232867996,4.5951722080975905e-05,0.9983303244128823,0.9957029331052049,0.9945591027167925,0.9945444082177193,0.9965984643159818,0.9526827103867468,0.9931588120949189,0.997560705233703
CT-2,251,0.8539992202384636,0.9148716546289093,0.9482446232867996,1.0,0.002508541033998578,0.9577146143521892,0.9449958604883034,0.9535946925739893,0.9626893648408154,0.9516099092063418,0.9894331010735652,0.9385019140051462,0.9505320984682974
