CT-1,,CT-2,,CT-3,,CT-4,,CT-5,,CT-6,,CT-7,,CT-8.2,,CT-9,,CT-10,,CT-11,
Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error
10.5,0.4,8.21,0.24,303.7,5.2,7.24,0.21,8.6,0.65,7.08,0.17,7.4,0.25,8.74,0.285,9.7,0.405,9.7,0.435,8.93,0.41
10.5,0.5,8.23,0.24,303.9,4.9,7.26,0.345,8.6,0.55,7.14,0.275,7.4,0.25,8.76,0.27,9.71,0.27,9.73,0.395,8.97,0.355
10.5,0.6,8.32,0.455,304.0,4.3,7.27,0.35,8.7,0.35,7.16,0.485,7.4,0.35,8.84,0.275,9.71,0.34,9.76,0.305,8.99,0.245
10.7,0.55,8.35,0.465,304.2,7.2,7.32,0.405,8.8,0.5,7.18,0.25,7.4,0.15,8.9,0.41,9.72,0.275,9.76,0.355,9.06,0.18
10.7,0.35,8.37,0.325,304.4,4.85,7.32,0.34,9.0,0.5,7.21,0.225,7.4,0.35,9.04,0.31,9.72,0.365,9.77,0.165,9.09,0.45
11.3,0.35,8.42,0.425,304.5,6.55,7.33,0.205,9.0,0.4,7.24,0.465,7.5,0.35,9.2,0.275,9.74,0.405,9.77,0.265,9.12,0.285
17.2,0.45,8.47,0.345,304.6,4.95,7.34,0.35,9.0,0.45,7.3,0.18,7.5,0.25,9.25,0.305,9.74,0.35,9.77,0.365,9.19,0.265
17.6,0.35,8.48,0.225,304.7,5.1,7.36,0.395,9.0,0.25,7.31,0.23,7.5,0.25,9.26,0.18,9.74,0.405,9.78,0.3,9.21,0.26
17.8,0.5,8.49,0.505,304.8,7.5,7.37,0.355,9.1,0.6,7.32,0.325,7.5,0.2,9.29,0.41,9.78,0.315,9.96,0.385,9.26,0.305
18.1,0.35,8.5,0.235,304.8,5.5,7.4,0.425,9.2,0.5,7.35,0.175,7.5,0.35,9.3,0.19,9.78,0.42,10.2,0.45,9.32,0.25
18.2,0.3,8.51,0.32,304.9,6.85,7.44,0.22,9.2,0.25,7.4,0.24,7.5,0.25,9.38,0.27,9.81,0.405,10.2,0.2,9.33,0.335
18.2,0.75,8.55,0.26,304.9,4.95,7.46,0.41,9.3,0.35,7.43,0.19,7.5,0.45,9.45,0.435,9.81,0.26,10.3,0.25,9.34,0.39
18.2,0.55,8.58,0.35,305.0,7.0,7.47,0.215,9.3,0.45,7.44,0.485,7.5,0.4,9.5,0.145,9.89,0.305,10.3,0.3,9.36,0.45
18.2,0.35,8.6,0.465,305.1,8.75,7.51,0.4,9.3,0.35,7.45,0.38,7.5,0.25,9.54,0.24,9.9,0.35,10.4,0.3,9.37,0.195
18.2,0.5,8.61,0.32,305.5,6.55,7.64,0.185,9.3,0.2,7.5,0.44,7.5,0.3,9.56,0.415,9.92,0.28,10.5,0.4,9.38,0.37
18.3,0.75,8.63,0.36,305.6,4.75,7.66,0.235,9.3,0.3,7.51,0.375,7.5,0.35,9.6,0.295,9.93,0.245,10.5,0.45,9.41,0.245
18.3,0.65,8.67,0.405,305.6,8.15,7.72,0.285,9.4,0.6,7.51,0.355,7.5,0.3,9.61,0.28,10.0,0.45,10.5,0.3,9.44,0.235
18.4,0.35,8.73,0.33,305.6,4.7,7.75,0.21,9.4,0.3,7.54,0.17,7.6,0.25,9.65,0.31,10.0,0.4,11.1,0.25,9.45,0.325
18.7,0.5,8.84,0.455,305.8,7.75,7.77,0.46,9.4,0.55,7.55,0.17,7.6,0.35,9.65,0.38,10.1,0.25,11.4,0.25,9.47,0.26
18.8,0.35,8.87,0.225,305.9,7.75,7.79,1.36,9.4,0.45,7.55,0.305,7.6,0.4,9.66,0.23,10.2,0.3,12.2,0.25,9.47,0.39
18.8,0.4,8.9,0.37,306.1,4.2,7.8,0.145,9.4,0.5,7.56,0.17,7.7,0.35,9.67,0.35,10.3,0.45,12.8,0.3,9.48,0.415
18.9,0.65,9.01,0.475,306.2,6.0,7.83,0.31,9.4,0.3,7.56,0.44,7.7,0.3,9.71,0.275,10.3,0.4,12.9,0.25,9.51,0.285
19.1,0.35,9.1,0.37,306.2,5.55,7.84,0.32,9.6,0.25,7.58,0.17,7.7,0.4,9.73,0.2,10.3,0.3,13.0,0.45,9.51,0.565
19.3,0.45,9.12,0.39,306.2,7.15,7.85,0.21,9.6,0.4,7.58,0.205,7.7,0.4,9.73,0.4,10.4,0.5,13.1,0.3,9.53,0.255
19.3,0.45,9.16,0.535,306.4,6.3,7.88,0.35,9.6,0.7,7.64,0.16,7.7,0.45,9.74,0.2,11.2,0.35,13.3,0.75,9.54,0.19
20.0,0.65,9.18,0.495,306.4,4.45,7.93,0.305,9.6,0.6,7.65,0.3,7.8,0.3,9.75,0.255,12.0,0.2,13.5,0.25,9.54,0.135
20.0,0.5,9.22,0.395,306.5,5.6,7.95,0.365,9.6,0.5,7.69,0.25,7.8,0.35,9.82,0.42,12.0,0.15,13.6,0.4,9.59,0.285
20.4,1.05,9.26,0.35,306.5,5.8,7.97,0.35,9.7,0.35,7.74,0.27,7.8,0.15,9.82,0.325,12.2,0.2,13.6,0.25,9.6,0.315
20.7,1.1,9.27,0.34,306.6,5.3,7.97,0.3,9.7,0.5,7.79,0.3,7.8,0.4,9.86,0.245,13.4,0.25,13.7,0.35,9.6,0.235
39.3,1.25,9.28,0.44,306.6,5.65,7.98,0.47,9.7,0.65,7.81,0.16,7.9,0.45,9.86,0.165,13.5,0.65,13.7,0.3,9.72,0.375
70.8,1.5,9.43,0.25,307.0,6.75,8.0,0.25,9.8,0.55,7.84,0.345,7.9,0.35,9.87,0.53,13.7,0.55,13.7,0.6,9.74,0.545
